URL,numOfHeaderSentences,numOfBodySentences,meanHeaderLen,minHeaderLength,maxHeaderLength,meanBodyLen,minBodyLength,maxBodyLength,headerMisspellRate,bodyMisspellRate,headerGrammarMaxKey,headerGrammarMaxTimes,headerGrammarMinKey,headerGrammarMinTimes,bodyGrammarMaxKey,bodyGrammarMaxTimes,bodyGrammarMinKey,bodyGrammarMinTimes
"http://www.bbc.com/news/world-us-canada-41419190
",1.0,52.0,7.0,7.0,7.0,21.153846153846153,6.0,53.0,0.42857142857142855,0.11818181818181818,NNP,4.0,CD,1.0,NN,165.0,(,1.0
"https://www.reuters.com/article/us-filmfestival-london-lastflagflying/linklaters-war-veteran-comedy-speaks-to-modern-america-says-star-idUSKBN1CD0X2
",1.0,29.0,11.0,11.0,11.0,19.17241379310345,3.0,45.0,0.18181818181818182,0.1079136690647482,NN,4.0,POS,1.0,NNP,99.0,WRB,1.0
"https://www.nytimes.com/2017/10/09/us/politics/corkers-blast-at-trump-has-other-republicans-nodding-in-agreement.html?rref=collection%2Fsectioncollection%2Fpolitics
",1.0,74.0,9.0,9.0,9.0,15.013513513513514,2.0,43.0,0.5555555555555556,0.10801080108010801,NNP,5.0,.,1.0,NNP,187.0,WRB,1.0
"https://www.reuters.com/article/us-mexico-oil-cardenas/egypts-cheiron-wins-tie-up-with-pemex-for-mexican-onshore-oil-field-idUSKBN1C92EU
",1.0,4.0,13.0,13.0,13.0,27.25,5.0,42.0,0.3076923076923077,0.2018348623853211,NNP,4.0,POS,1.0,NN,24.0,:,1.0
"http://www.cnn.com/videos/cnnmoney/2017/10/08/snl-jason-aldean-las-vegas-tom-petty-orig.cnn/video/playlists/cant-miss/
",1.0,1.0,7.0,7.0,7.0,39.0,39.0,39.0,0.2857142857142857,0.07692307692307693,NNP,3.0,VBZ,1.0,NNP,12.0,WP,1.0
"http://beforeitsnews.com/sports/2017/09/jetnation-fanduel-league-week-4-2701323.html

",1.0,11.0,5.0,5.0,5.0,10.818181818181818,3.0,33.0,0.4,0.15966386554621848,NNP,3.0,:,1.0,NN,21.0,(,1.0
"https://www.nytimes.com/2017/10/10/us/politics/kansas-tried-a-tax-plan-similar-to-trumps-it-failed.html?rref=collection%2Fsectioncollection%2Fpolitics
",2.0,65.0,5.5,2.0,9.0,19.415384615384614,2.0,67.0,0.36363636363636365,0.07765451664025357,NNP,3.0,DT,1.0,NN,222.0,:,1.0
"https://www.reuters.com/article/us-india-cenbank-patel/india-rbi-chief-growth-important-but-not-at-cost-of-inflation-newspaper-idUSKBN1CE09J
",1.0,19.0,12.0,12.0,12.0,19.894736842105264,3.0,40.0,0.08333333333333333,0.10846560846560846,NN,5.0,JJ,1.0,NN,83.0,JJR,2.0
"https://www.reuters.com/article/us-climatechange-usa-epa/u-s-epa-chief-says-to-sign-proposed-rule-on-clean-power-plan-withdrawal-on-tuesday-idUSKBN1CE1RV
",1.0,22.0,12.0,12.0,12.0,20.272727272727273,6.0,47.0,0.08333333333333333,0.11434977578475336,NNP,5.0,TO,1.0,NNP,95.0,(,1.0
"https://www.reuters.com/article/us-air-berlin-easyjet/talks-on-sale-of-air-berlin-planes-to-easyjet-at-risk-of-collapse-report-idUSKBN1CD0YW
",1.0,11.0,14.0,14.0,14.0,21.818181818181817,3.0,43.0,0.14285714285714285,0.1375,IN,4.0,TO,1.0,NNP,50.0,EX,1.0
"https://www.activistpost.com/2017/09/u-s-president-donald-trump-quietly-signs-law-allow-warrant-less-searches-parts-va-dc-md.html
",1.0,30.0,19.0,19.0,19.0,21.966666666666665,4.0,97.0,0.21052631578947367,0.10166919575113809,NNP,13.0,TO,1.0,NNP,134.0,WDT,2.0
"http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-team-defense-rankings-week-5-2701900.html

",1.0,25.0,8.0,8.0,8.0,4.48,1.0,21.0,0.25,0.15178571428571427,NNP,5.0,:,1.0,NNP,48.0,VB,1.0
"http://beforeitsnews.com/sports/2017/09/just-shut-up-play-some-damn-baseball-2701059.html
",2.0,58.0,3.5,7.0,7.0,13.431034482758621,1.0,43.0,0.0,0.07317073170731707,NNP,5.0,RB,1.0,NN,112.0,RP,1.0
"https://www.reuters.com/article/us-deloitte-cyber/deloitte-cyber-attack-affected-up-to-350-clients-guardian-idUSKBN1CF29M
",1.0,9.0,9.0,9.0,9.0,12.222222222222221,3.0,43.0,0.2222222222222222,0.19090909090909092,NNP,2.0,NN,1.0,NNP,21.0,VBZ,1.0
"http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html
",1.0,2.0,13.0,13.0,13.0,14.0,1.0,27.0,0.5384615384615384,0.42857142857142855,NNP,11.0,CD,1.0,NNP,15.0,NN,1.0
https://www.nytimes.com/2017/10/04/us/las-vegas-shooting.html,1.0,136.0,11.0,11.0,11.0,15.139705882352942,1.0,55.0,0.45454545454545453,0.07722195240407966,NNP,6.0,JJ,1.0,NN,320.0,NNPS,1.0
https://www.nytimes.com/2017/10/04/us/marilou-danley-stephen-paddock.html,1.0,115.0,12.0,12.0,12.0,13.756521739130434,1.0,46.0,0.5,0.12389380530973451,NNP,7.0,.,1.0,NNP,217.0,EX,1.0
"https://www.nytimes.com/video/us/politics/100000005485677/trumps-immigration-rhetoric-echoes-90s.html?rref=collection%2Fsectioncollection%2Fpolitics
",1.0,2.0,11.0,11.0,11.0,16.5,9.0,24.0,0.45454545454545453,0.12121212121212122,NNP,6.0,.,1.0,NNP,7.0,VBZ,1.0
"http://beforeitsnews.com/u-s-politics/2017/10/trump-bemoans-little-appreciation-as-san-juan-mayor-begs-for-water-2537595.html
",2.0,1.0,5.5,4.0,7.0,32.0,32.0,32.0,0.36363636363636365,0.1875,NNP,5.0,NNPS,1.0,NNP,9.0,RP,1.0
"http://beforeitsnews.com/u-s-politics/2017/10/in-meeting-with-military-trump-talks-of-calm-before-the-storm-2537421.html
",1.0,4.0,11.0,11.0,11.0,19.0,4.0,37.0,0.2727272727272727,0.13157894736842105,NNP,5.0,VBG,1.0,NNP,15.0,VBP,1.0
"http://beforeitsnews.com/u-s-politics/2017/10/teacher-sparks-outrage-by-asking-kids-to-make-nazi-mascots-2537450.html
",1.0,1.0,10.0,10.0,10.0,32.0,32.0,32.0,0.5,0.1875,NNP,3.0,DT,1.0,NNP,9.0,RP,1.0
"http://beforeitsnews.com/sports/2017/09/928-through-the-40s-the-gloaming-hbd-bill-lou-cy-the-third-everett-cy-leon-buck-clarke-honoredtiny-2-hitter-2701370.html
",1.0,2.0,22.0,22.0,22.0,12.0,8.0,16.0,0.3181818181818182,0.125,NNP,13.0,CD,1.0,NNP,9.0,JJ,1.0
"https://www.reuters.com/article/us-people-harvey-weinstein/weinstein-co-board-ousts-harvey-weinstein-after-harassment-allegations-idUSKBN1CE00B
",1.0,10.0,9.0,9.0,9.0,19.2,2.0,43.0,0.2222222222222222,0.0625,NNP,4.0,NN,1.0,NN,33.0,(,1.0
"http://beforeitsnews.com/u-s-politics/2017/09/hillary-clinton-suggests-that-trump-may-order-the-murder-of-journalists-2536870.html
",1.0,39.0,11.0,11.0,11.0,13.128205128205128,1.0,50.0,0.2727272727272727,0.15625,NNP,5.0,VBZ,1.0,NNP,89.0,RP,1.0
"http://beforeitsnews.com/sports/2017/09/929-through-the-40s-hbd-cannonball-paul-camnitz-clan-game-stories-2701470.html
",1.0,1.0,12.0,12.0,12.0,15.0,15.0,15.0,0.4166666666666667,0.06666666666666667,NNP,7.0,CD,1.0,NNP,5.0,VBZ,1.0
"https://www.reuters.com/article/us-tennis-tianjin/sharapova-storms-into-tianjin-quarter-finals-idUSKBN1CH1H9
",1.0,7.0,6.0,6.0,6.0,28.571428571428573,15.0,33.0,0.3333333333333333,0.15,NNP,2.0,VBZ,1.0,NNP,33.0,(,1.0
"http://beforeitsnews.com/sports/2017/10/103-expo-park-forbes-field-era-pirates-grays-ws-win-game-stories-2701784.html
",1.0,1.0,13.0,13.0,13.0,15.0,15.0,15.0,0.3076923076923077,0.06666666666666667,NNP,8.0,CD,1.0,NNP,5.0,VBZ,1.0
"http://www.cnn.com/videos/us/2017/10/12/harvey-weinstein-scandal-no-surprise-kaye-pkg-ac.cnn
",1.0,2.0,6.0,6.0,6.0,8.5,6.0,11.0,0.0,0.17647058823529413,NNP,2.0,RB,1.0,IN,4.0,VB,1.0
"http://beforeitsnews.com/sports/2017/09/blackhawks-roster-breakdown-goalies-2701437.html
",1.0,42.0,4.0,4.0,4.0,18.5,3.0,42.0,1.0,0.10810810810810811,NNP,3.0,:,1.0,NN,123.0,JJS,1.0
"https://www.nytimes.com/2017/10/06/sports/soccer/usmnt-panama-world-cup-qualifying.html?rref=collection%2Fsectioncollection%2Fsports
",1.0,52.0,11.0,11.0,11.0,11.711538461538462,2.0,35.0,0.18181818181818182,0.07060755336617405,NNP,8.0,IN,1.0,NN,88.0,JJS,1.0
